,,Agricultura familiar - não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultura familiar - sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca,Total,Aguardente de cana,Algodão em pluma,Caroço de algodão,Arroz em grão,Café torrado em grão,Café torrado e moído,Cajuína,Creme de leite,Doces e geléias,Farinha de mandioca,Fubá de milho,Fumo em rolo ou corda,Legumes e verduras (processadas),Licores,Manteiga,Melado,Óleos vegetais,"Pães, bolos e biscoitos",Polpa de frutas,Queijo e requeijão,Rapadura,Sucos de frutas,Vinho de uva,Carne de bovinos(verde),Carne de suínos(verde),Carne de outros animais(verde),"Carne tratada(de sol, salgada)","Embutidos(linguiças, salsichas, etc.)",Couros e peles,Carvão vegetal,Produtos de madeira,Outros produtos,Goma ou tapioca
,Produção de lavouras temporárias,5197,2,-,-,101,-,-,-,-,5,5009,4,9,-,1,1,7,2,20,183,16,1,109,-,4,4,-,-,-,-,153,4,93,274,62274,1,-,-,861,3,16,3,-,32,61377,14,76,1,32,-,125,26,44,2146,97,4,1208,-,13,30,8,1,1,1,1868,20,753,2796
,Horticultura e floricultura,62,-,-,-,1,-,-,-,-,2,24,-,-,1,-,-,-,1,1,15,-,-,2,-,-,-,-,-,-,-,1,-,19,4,386,-,-,-,3,-,-,-,-,4,287,-,1,3,1,-,1,-,4,48,5,-,11,-,-,-,-,-,-,-,26,-,45,18
,Produção de lavouras permanentes,819,-,-,-,44,-,-,-,-,4,372,-,-,1,-,-,-,2,-,259,16,-,141,-,1,1,-,-,-,-,15,2,70,21,6284,-,-,-,130,8,12,-,-,23,4262,-,1,1,4,-,5,20,2,1485,73,1,843,-,8,6,1,-,-,-,135,2,126,216
,Produção de sementes e mudas certificadas,3,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,18,-,-,-,-,1,-,-,-,-,9,-,-,-,-,-,-,1,-,7,-,-,1,-,-,-,-,-,-,-,1,-,-,-
,Pecuária e criação de outros animais,1881,-,-,-,19,-,4,-,2,46,480,5,2,-,1,18,-,3,5,250,1019,-,87,-,35,12,4,3,1,1,35,4,66,34,8518,2,-,-,114,-,8,1,2,96,3893,10,4,-,-,17,11,11,19,1085,3258,14,315,-,75,35,7,9,2,4,255,7,170,230
,Produção florestal - florestas plantadas,29,-,-,-,3,-,-,-,-,-,15,-,-,-,1,-,-,2,-,1,2,-,1,-,-,-,-,-,-,-,11,5,1,-,109,-,-,-,2,-,-,-,-,2,79,1,1,-,2,1,-,-,1,10,-,-,4,-,1,-,-,-,-,-,42,7,-,3
,Produção florestal - florestas nativas,355,-,-,-,1,-,-,-,-,-,101,-,-,-,-,-,-,9,1,102,1,-,127,-,1,-,-,-,1,-,38,12,5,5,5169,-,-,-,23,1,6,1,-,4,2381,3,6,-,26,-,8,113,30,1206,8,1,1610,-,2,5,-,1,-,-,370,90,105,164
,Pesca,69,-,-,-,-,-,-,-,-,-,54,-,-,-,-,-,-,-,-,4,-,-,8,-,2,1,-,1,-,-,1,-,3,4,599,-,-,-,2,1,1,-,-,5,433,-,1,-,-,1,-,-,1,18,4,-,145,-,-,-,-,3,-,-,22,2,18,46
,Aquicultura,84,-,-,-,2,-,-,-,-,-,45,-,-,-,-,-,1,-,1,20,10,-,8,-,1,-,1,-,-,-,1,-,3,2,57,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,4,7,-,1,-,-,-,-,-,-,-,4,-,2,1
Amapá,Total,732,-,2,-,5,-,1,-,-,8,447,5,2,-,1,1,7,22,21,223,65,1,126,1,7,20,32,-,-,1,52,18,48,162,4471,-,3,-,38,-,9,-,-,34,3507,38,25,1,7,1,10,106,86,1078,89,-,698,-,16,37,77,-,-,5,95,89,454,1196
,Produção de lavouras temporárias,344,-,-,-,1,-,-,-,-,1,314,3,1,-,-,-,1,4,2,73,1,-,31,-,-,2,9,-,-,-,14,6,33,124,2797,-,2,-,28,-,4,-,-,11,2688,30,21,-,2,-,3,63,41,559,5,-,170,-,3,14,56,-,-,5,48,36,379,913
